,mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,origin,car_code
301,27.2,4,135.0,84.0,2490,15.7,81,1,229
302,30.0,4,135.0,84.0,2385,12.9,81,1,229
303,23.2,4,156.0,105.0,2745,16.7,78,1,230
304,18.0,8,318.0,150.0,3436,11.0,70,1,231
305,16.0,6,225.0,105.0,3439,15.5,71,1,232
306,14.0,8,318.0,150.0,4077,14.0,72,1,233
307,18.0,6,225.0,105.0,3613,16.5,74,1,234
308,18.0,6,225.0,105.0,3121,16.5,73,1,235
309,22.0,6,225.0,100.0,3233,15.4,76,1,235
310,19.0,6,225.0,95.0,3264,16.0,75,1,236
311,20.5,6,225.0,100.0,3430,17.2,78,1,237
312,19.0,6,225.0,100.0,3630,17.7,77,1,238
313,13.0,8,318.0,150.0,3940,13.2,76,1,239
314,23.0,4,140.0,78.0,2592,18.5,75,1,240
315,14.0,8,455.0,225.0,4425,10.0,70,1,241
316,14.0,8,400.0,175.0,4385,12.0,72,1,241
317,16.0,8,400.0,170.0,4668,11.5,75,1,241
318,14.0,8,400.0,175.0,4464,11.5,71,1,242
319,19.0,6,250.0,100.0,3282,15.0,71,1,243
320,16.0,8,400.0,230.0,4278,9.5,73,1,244
321,16.0,8,400.0,180.0,4220,11.1,77,1,245
322,31.0,4,112.0,85.0,2575,16.2,82,1,246
323,21.5,6,231.0,115.0,3245,15.4,79,1,247
324,33.5,4,151.0,90.0,2556,13.2,79,1,248
325,27.0,4,151.0,90.0,2735,18.0,82,1,248
326,19.2,6,231.0,105.0,3535,19.2,78,1,249
327,13.0,8,400.0,175.0,5140,12.0,71,1,250
328,24.5,4,151.0,88.0,2740,16.0,77,1,251
329,18.5,6,250.0,110.0,3645,16.2,76,1,252
330,26.0,4,96.0,69.0,2189,18.0,72,2,253
331,27.0,4,101.0,83.0,2202,15.3,76,2,254
332,34.5,4,100.0,104.35761421319798,2320,15.8,81,2,255
333,36.0,4,79.0,58.0,1825,18.6,77,2,256
334,40.9,4,85.0,104.35761421319798,1835,17.3,80,2,257
335,25.0,4,104.0,95.0,2375,17.5,70,2,258
336,21.6,4,121.0,115.0,2795,15.7,78,2,259
337,24.0,4,121.0,110.0,2660,14.0,73,2,260
338,25.0,4,121.0,115.0,2671,13.5,75,2,260
339,26.0,4,108.0,93.0,2391,15.5,74,3,261
340,32.3,4,97.0,67.0,2065,17.8,81,3,261
341,30.0,4,97.0,67.0,1985,16.4,77,3,262
342,33.8,4,97.0,67.0,2145,18.0,80,3,262
343,20.0,4,97.0,88.0,2279,19.0,73,3,263
344,32.0,4,144.0,96.0,2665,13.9,82,3,264
345,21.1,4,134.0,95.0,2515,14.8,78,3,265
346,29.0,4,97.0,75.0,2171,16.0,75,3,266
347,28.0,4,97.0,75.0,2155,16.4,76,3,266
348,32.2,4,108.0,75.0,2265,15.2,80,3,266
349,32.4,4,108.0,75.0,2350,16.8,81,3,266
350,34.0,4,108.0,70.0,2245,16.9,82,3,266
351,31.0,4,71.0,65.0,1773,19.0,71,3,267
352,32.0,4,71.0,65.0,1836,21.0,74,3,267
353,27.0,4,97.0,88.0,2100,16.5,72,3,268
354,26.0,4,97.0,75.0,2265,18.2,77,3,269
355,38.1,4,89.0,60.0,1968,18.8,80,3,270
356,25.0,4,113.0,95.0,2228,14.0,71,3,271
357,31.0,4,76.0,52.0,1649,16.5,74,3,271
358,24.0,4,134.0,96.0,2702,13.5,75,3,271
359,27.5,4,134.0,95.0,2560,14.2,78,3,271
360,24.0,4,113.0,95.0,2278,15.5,72,3,272
361,29.8,4,134.0,90.0,2711,15.5,80,3,273
362,24.0,4,113.0,95.0,2372,15.0,70,3,274
363,25.4,6,168.0,116.0,2900,12.6,81,3,275
364,20.0,6,156.0,122.0,2807,13.5,73,3,276
365,19.0,6,156.0,108.0,2930,15.5,76,3,276
366,39.1,4,79.0,58.0,1755,16.9,81,3,277
367,37.7,4,89.0,62.0,2050,17.3,81,3,278
368,23.0,4,120.0,97.0,2506,14.5,72,3,279
369,35.0,4,122.0,88.0,2500,15.1,80,2,280
370,29.8,4,89.0,62.0,1845,15.3,80,2,281
371,26.0,4,97.0,46.0,1835,20.5,70,2,282
372,22.0,4,121.0,76.0,2511,18.0,72,2,283
373,26.0,4,79.0,67.0,1963,15.5,74,2,284
374,25.0,4,90.0,71.0,2223,16.5,75,2,284
375,30.5,4,97.0,78.0,2190,14.1,77,2,284
376,33.0,4,105.0,74.0,2190,14.2,81,2,285
377,27.0,4,97.0,60.0,1834,19.0,71,2,286
378,29.0,4,90.0,70.0,1937,14.0,75,2,287
379,29.5,4,97.0,71.0,1825,12.2,76,2,287
380,29.0,4,97.0,78.0,1940,14.5,77,2,288
381,43.1,4,90.0,48.0,1985,21.5,78,2,289
382,36.0,4,105.0,74.0,1980,15.3,82,2,290
383,31.5,4,89.0,71.0,1990,14.9,78,2,291
384,26.0,4,97.0,46.0,1950,21.0,73,2,292
385,23.0,4,97.0,54.0,2254,23.5,72,2,293
386,19.0,4,121.0,112.0,2868,15.5,73,2,294
387,18.0,4,121.0,112.0,2933,14.5,72,2,295
388,22.0,4,121.0,98.0,2945,14.5,75,2,296
389,20.0,4,130.0,102.0,3150,15.7,76,2,297
390,17.0,6,163.0,125.0,3140,13.6,78,2,298
391,30.7,6,145.0,76.0,3160,19.6,81,2,299
392,43.4,4,90.0,48.0,2335,23.7,80,2,300
393,44.0,4,97.0,52.0,2130,24.6,82,2,301
394,29.0,4,90.0,70.0,1937,14.2,76,2,302
395,41.5,4,98.0,76.0,2144,14.7,80,2,302
396,44.3,4,90.0,48.0,2085,21.7,80,2,303
397,31.9,4,89.0,71.0,1925,14.0,79,2,304
